"origin_date","horizon","location","target","output_type","output_type_id","value"
"2022-12-12",-3,"20","inc covid hosp","quantile",0.65,59
"2022-12-12",-3,"20","inc covid hosp","quantile",0.7,64
"2022-12-12",-3,"20","inc covid hosp","quantile",0.75,70
"2022-12-12",-3,"20","inc covid hosp","quantile",0.8,76
"2022-12-12",-3,"20","inc covid hosp","quantile",0.85,83.8120266202664
"2022-12-12",-3,"20","inc covid hosp","quantile",0.9,93
"2022-12-12",-3,"20","inc covid hosp","quantile",0.95,108
"2022-12-12",-3,"20","inc covid hosp","quantile",0.975,121.596177711777
"2022-12-12",-3,"20","inc covid hosp","quantile",0.99,137.077414174142
"2022-12-12",-2,"20","inc covid hosp","quantile",0.01,0
"2022-12-12",-2,"20","inc covid hosp","quantile",0.025,0
"2022-12-12",-2,"20","inc covid hosp","quantile",0.05,0
"2022-12-12",-2,"20","inc covid hosp","quantile",0.1,0
"2022-12-12",-2,"20","inc covid hosp","quantile",0.15,3.31069160691614
"2022-12-12",-2,"20","inc covid hosp","quantile",0.2,11.270402704027
"2022-12-12",-2,"20","inc covid hosp","quantile",0.25,18
"2022-12-12",-2,"20","inc covid hosp","quantile",0.3,24
"2022-12-12",-2,"20","inc covid hosp","quantile",0.35,30
"2022-12-12",-2,"20","inc covid hosp","quantile",0.4,35
"2022-12-12",-2,"20","inc covid hosp","quantile",0.45,40
"2022-12-12",-2,"20","inc covid hosp","quantile",0.5,45
"2022-12-12",-2,"20","inc covid hosp","quantile",0.55,50
"2022-12-12",-2,"20","inc covid hosp","quantile",0.6,55
"2022-12-12",-2,"20","inc covid hosp","quantile",0.65,60
"2022-12-12",-2,"20","inc covid hosp","quantile",0.7,65.929491294913
"2022-12-12",-2,"20","inc covid hosp","quantile",0.75,72
"2022-12-12",-2,"20","inc covid hosp","quantile",0.8,78.5968899688997
"2022-12-12",-2,"20","inc covid hosp","quantile",0.85,86.2792127921279
"2022-12-12",-2,"20","inc covid hosp","quantile",0.9,97
"2022-12-12",-2,"20","inc covid hosp","quantile",0.95,112.557766577666
"2022-12-12",-2,"20","inc covid hosp","quantile",0.975,126.596008210082
"2022-12-12",-2,"20","inc covid hosp","quantile",0.99,143.176974869748
"2022-12-12",-1,"20","inc covid hosp","quantile",0.01,0
"2022-12-12",-1,"20","inc covid hosp","quantile",0.025,0
"2022-12-12",-1,"20","inc covid hosp","quantile",0.05,0
"2022-12-12",-1,"20","inc covid hosp","quantile",0.1,0
"2022-12-12",-1,"20","inc covid hosp","quantile",0.15,1
"2022-12-12",-1,"20","inc covid hosp","quantile",0.2,9
