"origin_date","horizon","location","target","output_type","output_type_id","value"
"2022-12-05",4,"20","inc covid hosp","quantile",0.25,45.749208245747
"2022-12-05",4,"20","inc covid hosp","quantile",0.3,47.4464849697917
"2022-12-05",4,"20","inc covid hosp","quantile",0.35,48.9256950067887
"2022-12-05",4,"20","inc covid hosp","quantile",0.4,50.0642220506148
"2022-12-05",4,"20","inc covid hosp","quantile",0.45,51.7117880577475
"2022-12-05",4,"20","inc covid hosp","quantile",0.5,53.6867940210855
"2022-12-05",4,"20","inc covid hosp","quantile",0.55,55.5986147255169
"2022-12-05",4,"20","inc covid hosp","quantile",0.6,57.4141471780438
"2022-12-05",4,"20","inc covid hosp","quantile",0.65,59.0108043514701
"2022-12-05",4,"20","inc covid hosp","quantile",0.7,60.7693351092626
"2022-12-05",4,"20","inc covid hosp","quantile",0.75,62.9276459492656
"2022-12-05",4,"20","inc covid hosp","quantile",0.8,65.738302184855
"2022-12-05",4,"20","inc covid hosp","quantile",0.85,69.431347646744
"2022-12-05",4,"20","inc covid hosp","quantile",0.9,74.0529236822676
"2022-12-05",4,"20","inc covid hosp","quantile",0.95,83.2352118655727
"2022-12-05",4,"20","inc covid hosp","quantile",0.975,88.8459994041371
"2022-12-05",4,"20","inc covid hosp","quantile",0.99,98.0435045568226
"2022-12-05",5,"20","inc covid hosp","quantile",0.01,28.9589500467405
"2022-12-05",5,"20","inc covid hosp","quantile",0.025,31.4939068320405
"2022-12-05",5,"20","inc covid hosp","quantile",0.05,35.418286541521
"2022-12-05",5,"20","inc covid hosp","quantile",0.1,38.0657183399131
"2022-12-05",5,"20","inc covid hosp","quantile",0.15,41.3132710206168
"2022-12-05",5,"20","inc covid hosp","quantile",0.2,43.5787098513335
"2022-12-05",5,"20","inc covid hosp","quantile",0.25,45.8168015463574
"2022-12-05",5,"20","inc covid hosp","quantile",0.3,47.350717982273
"2022-12-05",5,"20","inc covid hosp","quantile",0.35,48.7615940736999
"2022-12-05",5,"20","inc covid hosp","quantile",0.4,50.2591517146871
"2022-12-05",5,"20","inc covid hosp","quantile",0.45,52.0907795680665
"2022-12-05",5,"20","inc covid hosp","quantile",0.5,53.9319443587145
"2022-12-05",5,"20","inc covid hosp","quantile",0.55,55.584475313384
