"origin_date","horizon","location","target","output_type","output_type_id","value"
"2022-12-05",-6,"20","inc covid hosp","quantile",0.01,21.5210549692436
"2022-12-05",-6,"20","inc covid hosp","quantile",0.025,22.7826312496331
"2022-12-05",-6,"20","inc covid hosp","quantile",0.05,24.6418480079623
"2022-12-05",-6,"20","inc covid hosp","quantile",0.1,26.8728854641535
"2022-12-05",-6,"20","inc covid hosp","quantile",0.15,28.3986112972158
"2022-12-05",-6,"20","inc covid hosp","quantile",0.2,30.0296220739471
"2022-12-05",-6,"20","inc covid hosp","quantile",0.25,31.3599002633377
"2022-12-05",-6,"20","inc covid hosp","quantile",0.3,32.5670155175218
"2022-12-05",-6,"20","inc covid hosp","quantile",0.35,33.5233500735192
"2022-12-05",-6,"20","inc covid hosp","quantile",0.4,34.7937142340293
"2022-12-05",-6,"20","inc covid hosp","quantile",0.45,35.8279473064954
"2022-12-05",-6,"20","inc covid hosp","quantile",0.5,36.6582807033758
"2022-12-05",-6,"20","inc covid hosp","quantile",0.55,36.6582807033758
"2022-12-05",-6,"20","inc covid hosp","quantile",0.6,37.6171778066503
"2022-12-05",-6,"20","inc covid hosp","quantile",0.65,38.5914236296932
"2022-12-05",-6,"20","inc covid hosp","quantile",0.7,39.7130610331496
"2022-12-05",-6,"20","inc covid hosp","quantile",0.75,41.0934286150955
"2022-12-05",-6,"20","inc covid hosp","quantile",0.8,42.5828341642089
"2022-12-05",-6,"20","inc covid hosp","quantile",0.85,44.2294413957779
"2022-12-05",-6,"20","inc covid hosp","quantile",0.9,45.8679728262304
"2022-12-05",-6,"20","inc covid hosp","quantile",0.95,48.7833057545652
"2022-12-05",-6,"20","inc covid hosp","quantile",0.975,55.0155948572107
"2022-12-05",-6,"20","inc covid hosp","quantile",0.99,59.1580396704338
"2022-12-05",-5,"20","inc covid hosp","quantile",0.01,21.4842274283225
"2022-12-05",-5,"20","inc covid hosp","quantile",0.025,22.4652856537664
"2022-12-05",-5,"20","inc covid hosp","quantile",0.05,25.0866471297107
